category_key,category_id,category_name
401,nocategory.401,"51.38 Registered nursing, nursing administration, nursing research and clinical nursing"
400,nocategory.400,51.37 Energy-based and biologically-based therapies
409,nocategory.409,60.06 Podiatric medicine residency programs
408,nocategory.408,60.05 Medical residency programs - subspecialty certificates
379,nocategory.379,51.11 Health/medical preparatory programs
378,nocategory.378,51.10 Clinical/medical laboratory science/research and allied professions
371,nocategory.371,51.02 Communication disorders sciences and services
370,nocategory.370,51.01 Chiropractic (DC)
373,nocategory.373,"51.05 Advanced/graduate dentistry and oral sciences (Cert., MS, MSc, PhD)"
372,nocategory.372,"51.04 Dentistry (DDS, DMD)"
375,nocategory.375,51.07 Health and medical administrative services
374,nocategory.374,51.06 Dental support services and allied professions
377,nocategory.377,"51.09 Allied health diagnostic, intervention and treatment professions"
376,nocategory.376,51.08 Allied health and medical assisting services
393,nocategory.393,51.27 Medical illustration and informatics
392,nocategory.392,51.26 Health aides/attendants/orderlies
88,nocategory.88,Social and behavioural sciences and law
89,nocategory.89,"05. Area, ethnic, cultural, gender, and group studies"
397,nocategory.397,51.34 Alternative and complementary medical support services
396,nocategory.396,51.33 Alternative and complementary medicine and medical systems
395,nocategory.395,51.32 Bioethics/medical ethics
394,nocategory.394,51.31 Dietetics and clinical nutrition services
82,nocategory.82,54.01 History
83,nocategory.83,55. French language and literature/letters
80,nocategory.80,"39.99 Theology and religious vocations, other"
81,nocategory.81,54. History
86,nocategory.86,55.14 French literature
87,nocategory.87,"55.99 French language and literature/letters, other"
84,nocategory.84,"55.01 French language and literature, general"
85,nocategory.85,55.13 French rhetoric and composition/writing studies
7,nocategory.7,13.03 Curriculum and instruction
245,nocategory.245,"04.02 Architecture (BArch, BA, BS, BSc, MArch, MA, MS, MSc, PhD)"
244,nocategory.244,04. Architecture and related services
247,nocategory.247,04.04 Environmental design/architecture
246,nocategory.246,"04.03 City/urban, community and regional planning"
241,nocategory.241,30.08 Mathematics and computer science
240,nocategory.240,30.06 Systems science and theory
243,nocategory.243,"Architecture, engineering, and related technologies"
242,nocategory.242,30.30 Computational science
249,nocategory.249,"04.06 Landscape architecture (BS, BSc, BSLA, BLA, MSLA, MLA, PhD)"
248,nocategory.248,04.05 Interior architecture
179,nocategory.179,52.21 Telecommunications management
178,nocategory.178,52.20 Construction management
177,nocategory.177,"52.19 Specialized sales, merchandising and marketing operations"
176,nocategory.176,"52.18 General sales, merchandising and related marketing operations"
175,nocategory.175,52.17 Insurance
174,nocategory.174,52.16 Taxation
173,nocategory.173,52.15 Real estate
172,nocategory.172,52.14 Marketing
171,nocategory.171,52.13 Management sciences and quantitative methods
170,nocategory.170,52.12 Management information systems and services
253,nocategory.253,"04.99 Architecture and related services, other"
182,nocategory.182,26. Biological and biomedical sciences
183,nocategory.183,"26.01 Biology, general"
180,nocategory.180,"52.99 Business, management, marketing and related support services, other"
181,nocategory.181,Physical and life sciences and technologies
186,nocategory.186,26.04 Cell/cellular biology and anatomical sciences
187,nocategory.187,26.05 Microbiological sciences and immunology
184,nocategory.184,26.02 Biochemistry/biophysics and molecular biology
185,nocategory.185,26.03 Botany/plant biology
188,nocategory.188,26.07 Zoology/animal biology
189,nocategory.189,26.08 Genetics
11,nocategory.11,13.07 International and comparative education
10,nocategory.10,"13.06 Educational assessment, evaluation and research"
