category_key,category_id,category_name
681,9536,"Industrial painters, coaters and metal finishing process operators"
680,9535,"Plastic products assemblers, finishers and inspectors"
683,96,"Labourers in processing, manufacturing and utilities"
682,9537,"Other products assemblers, finishers and inspectors"
623,9232,"Petroleum, gas and chemical process operators"
622,9231,"Central control and process operators, mineral and metal processing"
133,145,"Library, correspondence and other clerks"
132,1435,Collectors
131,1434,"Banking, insurance and other financial clerks"
130,1432,Payroll clerks
137,15,"Distribution, tracking and scheduling co-ordination occupations"
136,1454,Survey interviewers and statistical clerks
135,1452,"Correspondence, publication and regulatory clerks"
134,1451,Library assistants and clerks
494,7284,"Plasterers, drywall installers and finishers and lathers"
495,729,Other construction trades
139,1511,"Mail, postal and related workers"
138,151,Mail and message distribution occupations
490,728,Masonry and plastering trades
491,7281,Bricklayers
492,7282,Concrete finishers
493,7283,Tilesetters
24,013,Managers in communication (except broadcasting)
25,0131,Telecommunication carriers managers
26,0132,Postal and courier services managers
27,021,"Managers in engineering, architecture, science and information systems"
20,0121,"Insurance, real estate and financial brokerage managers"
21,0122,"Banking, credit and other investment managers"
22,0124,"Advertising, marketing and public relations managers"
23,0125,Other business services managers
28,0211,Engineering managers
29,0212,Architecture and science managers
407,6345,Upholsterers
406,6344,"Jewellers, jewellery and watch repairers and related occupations"
405,6343,Shoe repairers and shoemakers
404,6342,"Tailors, dressmakers, furriers and milliners"
403,6341,Hairstylists and barbers
402,634,Specialized occupations in personal and customer services
401,6332,Bakers
400,6331,"Butchers, meat cutters and fishmongers - retail and wholesale"
629,941,Machine operators and related workers in mineral and metal products processing and manufacturing
409,64,Sales representatives and salespersons - wholesale and retail trade
408,6346,Funeral directors and embalmers
628,94,Processing and manufacturing machine operators and related production workers
379,621,Retail sales supervisors
378,62,Retail sales supervisors and specialized sales occupations
371,5245,"Patternmakers - textile, leather and fur products"
370,5244,Artisans and craftspersons
373,5251,Athletes
372,525,"Athletes, coaches, referees and related occupations"
375,5253,Sports officials and referees
374,5252,Coaches
377,6,Sales and service occupations
376,5254,"Program leaders and instructors in recreation, sport and fitness"
618,9224,"Supervisors, furniture and fixtures manufacturing"
393,6314,Customer and information services supervisors
392,6313,"Accommodation, travel, tourism and related services supervisors"
88,121,Administrative services supervisors
89,1211,"Supervisors, general office and administrative support workers"
397,6321,Chefs
396,632,Chefs and cooks
395,6316,Other services supervisors
394,6315,Cleaning supervisors
82,1114,Other financial officers
83,112,Human resources and business service professionals
80,1112,Financial and investment analysts
81,1113,"Securities agents, investment dealers and brokers"
86,1123,"Professional occupations in advertising, marketing and public relations"
87,12,Administrative and financial supervisors and administrative occupations
84,1121,Human resources professionals
85,1122,Professional occupations in business management consulting
7,0011,Legislators
601,8613,Aquaculture and marine harvest labourers
607,921,"Supervisors, processing and manufacturing occupations"
586,8411,Underground mine service and support workers
587,8412,Oil and gas well drilling and related workers and services operators
584,84,"Workers in natural resources, agriculture and related production"
585,841,Mine service workers and operators in oil and gas drilling
582,8261,Fishing masters and officers
583,8262,Fishermen/women
580,8255,"Contractors and supervisors, landscaping, grounds maintenance and horticulture services"
581,826,Fishing vessel masters and fishermen/women
588,842,Logging and forestry workers
589,8421,Chain saw and skidder operators
245,313,"Pharmacists, dietitians and nutritionists"
244,3125,Other professional occupations in health diagnosing and treating
247,3132,Dietitians and nutritionists
246,3131,Pharmacists
241,3121,Optometrists
240,312,"Optometrists, chiropractors and other health diagnosing and treating professionals"
243,3124,Allied primary health practitioners
242,3122,Chiropractors
615,9221,"Supervisors, motor vehicle assembling"
249,3141,Audiologists and speech-language pathologists
248,314,Therapy and assessment professionals
519,733,Other mechanics and related repairers
518,7322,Motor vehicle body repairers
511,7313,Refrigeration and air conditioning mechanics
510,7312,Heavy-duty equipment mechanics
513,7315,Aircraft mechanics and aircraft inspectors
512,7314,Railway carmen/women
515,7318,Elevator constructors and mechanics
514,7316,Machine fitters
517,7321,"Automotive service technicians, truck and bus mechanics and mechanical repairers"
516,732,Automotive service technicians
458,6742,"Other service support occupations, n.e.c."
459,7,"Trades, transport and equipment operators and related occupations"
621,923,Central control and process operators in processing and manufacturing
620,9227,"Supervisors, other products manufacturing and assembly"
627,9243,Water and waste treatment plant operators
626,9241,Power engineers and power systems operators
625,924,Utilities equipment operators and controllers
624,9235,"Pulping, papermaking and coating control operators"
450,6721,"Support occupations in accommodation, travel and facilities set-up services"
451,6722,"Operators and attendants in amusement, recreation and sport"
452,673,Cleaners
453,6731,Light duty cleaners
454,6732,Specialized cleaners
455,6733,"Janitors, caretakers and building superintendents"
456,674,"Other service support and related occupations, n.e.c."
457,6741,"Dry cleaning, laundry and related occupations"
179,2154,Land surveyors
178,2153,Urban and land use planners
177,2152,Landscape architects
176,2151,Architects
175,215,"Architects, urban planners and land surveyors"
174,2148,"Other professional engineers, n.e.c."
173,2147,Computer engineers (except software engineers and designers)
172,2146,Aerospace engineers
171,2145,Petroleum engineers
170,2144,Geological engineers
656,946,"Machine operators and related workers in food, beverage and associated products processing"
657,9461,"Process control and machine operators, food, beverage and associated products processing"
654,9446,Industrial sewing machine operators
253,32,Technical occupations in health
182,217,Computer and information systems professionals
183,2171,Information systems analysts and consultants
180,216,"Mathematicians, statisticians and actuaries"
181,2161,"Mathematicians, statisticians and actuaries"
186,2174,Computer programmers and interactive media developers
187,2175,Web designers and developers
184,2172,Database analysts and data administrators
185,2173,Software engineers and designers
652,9442,"Weavers, knitters and other fabric making occupations"
188,22,Technical occupations related to natural and applied sciences
189,221,Technical occupations in physical sciences
658,9462,"Industrial butchers and meat cutters, poultry preparers and related workers"
653,9445,"Fabric, fur and leather cutters"
650,944,"Machine operators and related workers in textile, fabric, fur and leather products processing and manufacturing"
651,9441,"Textile fibre and yarn, hide and pelt processing machine operators and workers"
11,0015,"Senior managers - trade, broadcasting and other services, n.e.c."
10,0014,"Senior managers - health, education, social and community services and membership organizations"
13,01,-05 Specialized middle management occupations
12,0016,"Senior managers - construction, transportation, production and utilities"
15,0111,Financial managers
14,011,Administrative services managers
17,0113,Purchasing managers
16,0112,Human resources managers
19,012,Managers in financial and business services
18,0114,Other administrative services managers
659,9463,Fish and seafood plant workers
62,0711,Construction managers
322,4312,Firefighters
323,4313,Non-commissioned ranks of the Canadian Forces
320,431,Occupations in front-line public protection services
321,4311,Police officers (except commissioned)
326,4411,Home child care providers
327,4412,"Home support workers, housekeepers and related occupations"
324,44,"Care providers and educational, legal and public protection support occupations"
325,441,Home care providers and educational support occupations
328,4413,Elementary and secondary school teacher assistants
